Text,date,link,year
"Il élude, répond que c'est compliqué, que sa soeur a pris sa voiture, que sa carte d'autobus a expiré",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
" En fait, Michael n'a pas grand-chose à cacher, il campe provisoirement dans le petit appartement d'une de ses demi-soeurs",2005-03-31,https://www.lemonde.fr/a-la-une/article/2005/03/31/les-forcats-du-gps_633776_3208.html,2005
" Samir Traboulsi devient le confident de bien d'autres dames en vue : la première épouse du président indonésien, Achmed Sukarno, celle du producteur Eddy Barclay ou encore la soeur du chah d'Iran",2005-04-30,https://www.lemonde.fr/a-la-une/article/2005/04/30/le-carnet-d-or-de-samir-traboulsi_644931_3208.html,2005
", ne supportaient pas que leur soeur ait pu vivre une histoire d'amour, même terminée, avec ""ce Renoi de Mahmoud""",2005-09-24,https://www.lemonde.fr/a-la-une/article/2005/09/24/la-courneuve-par-temps-calme_692508_3208.html,2005
"C'est très dur"" , s'énerve, elle aussi, Mamou Gary qui vit au 4e étage avec son mari, leurs deux enfants de 3 et 4 ans, et sa soeur",2005-10-15,https://www.lemonde.fr/a-la-une/article/2005/10/15/un-jour-dans-une-vie-de-squat_699803_3208.html,2005
"Elle dort ici avec sa soeur, parfois aussi la voisine",2005-10-15,https://www.lemonde.fr/a-la-une/article/2005/10/15/un-jour-dans-une-vie-de-squat_699803_3208.html,2005
"Soeur Mary ne se risque pas à critiquer les positions du Vatican – réitérées par Benoît XVI –, mais confie quand même que, face à un couple ""sérodiscordant"", elle conseille les préservatifs",2005-10-24,https://www.lemonde.fr/a-la-une/article/2005/10/24/les-enfants-malades-du-sida_702731_3208.html,2005
"Khadija, 26 ans, la soeur d'Abdel, croise la bande",2005-11-19,https://www.lemonde.fr/a-la-une/article/2005/11/19/un-soir-au-pied-des-barres_712002_3208.html,2005
" ""Sa jeune soeur m'a accusée d'être responsable de sa mort",2005-12-23,https://www.lemonde.fr/a-la-une/article/2005/12/23/bill-et-melinda-gates-en-bienfaisance_724151_3208.html,2005
"Sharon épousera ensuite sa soeur, Lili, dont il aura deux fils",2006-01-07,https://www.lemonde.fr/a-la-une/article/2006/01/07/arik-scheinerman-de-kfar-malal_728453_3208.html,2006
"C'est surtout la soeur d'Ange-Marie Michelosi, aussi proche de Robert que de Jean-Jé",2006-03-15,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006
"Ses copains sont au courant, mais pas sa famille : ""Mes parents et ma soeur croient que je suis à Paris, j'ai honte de leur avouer que j'en suis arrivé là",2006-05-31,https://www.lemonde.fr/a-la-une/article/2006/05/31/la-cage-doree-des-cobayes_778117_3208.html,2006
"Pourtant, en 2004, Polnareff sollicite les services d'un spécialiste de la communication, Fabien Lecoeuvre, responsable de ""la mémoire de Claude François"", un mort qu'il ressuscite chaque jour ou presque, à l'instar d'un Orlando avec sa défunte soeur, Dalida",2006-06-17,https://www.lemonde.fr/a-la-une/article/2006/06/17/polnareff-ou-l-eternel-retour_784809_3208.html,2006
"A la naissance de sa soeur, son comportement changea radicalement",2006-08-09,https://www.lemonde.fr/a-la-une/article/2006/08/09/portrait-de-groupe-avec-petits-singes_802339_3208.html,2006
 Il rêve d'Italie où sa soeur s'est installée il y a vingt ans,2006-09-18,https://www.lemonde.fr/a-la-une/article/2006/09/18/silesie-partir-revenir_814128_3208.html,2006
Certains vont jusqu'à préciser leur préférence pour un (e) sunnite - plutôt qu'un (e) chiite - et indiquent la région d'origine de l'âme soeur en devenir,2006-10-25,https://www.lemonde.fr/a-la-une/article/2006/10/25/les-mille-et-une-coleres-des-musulmans-de-sa-majeste_827409_3208.html,2006
"Fatoumata et ses deux soeurs ne pourront en effet obtenir la nationalité française qu'à l'âge de 13 ans, si leurs parents en font la demande, sinon à 18 ans, pourvu qu'elles n'aient pas, entre-temps, quitté la France",2006-11-11,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006
"Avec ma soeur, on ne saura pas où aller",2006-11-11,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006
" A condition qu'il ne soit pas renvoyé en Angola, pays qu'il a fui en 2003 avec sa mère et ses quatre frères et soeurs, après la disparition de son père, militant du Front de libération de l'enclave de Cabinda (FLEC, parti indépendantiste)",2006-11-11,https://www.lemonde.fr/a-la-une/article/2006/11/11/sans-papiers-la-loterie-de-l-expulsion_833473_3208.html,2006
"Au CHU de Treichville, le plus important de l'agglomération, raconte Sylla dont une jeune soeur vient de mourir à l'hôpital, le trafic de médicaments est courant",2006-11-13,https://www.lemonde.fr/a-la-une/article/2006/11/13/abidjan-pourrit-sur-pied_833869_3208.html,2006
