Text,link,year,aspect,sentiment,prob
Ni que nous ayons relu pour l occasion une célèbre nouvelle de l oncle Ernest,https://www.lemonde.fr/a-la-une/article/2005/03/16/kilimandjaro_401843_3208.html,2005.0,oncle,Positive,0.9492780566215515
C est ce qu écoute son oncle explique t elle,https://www.lemonde.fr/a-la-une/article/2005/11/19/un-soir-au-pied-des-barres_712002_3208.html,2005.0,oncle,Neutral,0.6252508759498596
Son oncle paternel était l un d eux,https://www.lemonde.fr/a-la-une/article/2005/11/30/les-wiel-famille-du-nord-a-outreau_715930_3208.html,2005.0,oncle,Positive,0.9039238691329956
Elle sait qu un oncle paternel et sa famille sont réfugiés en Syrie mais elle ne les connaît pas,https://www.lemonde.fr/a-la-une/article/2006/02/01/l-espoir-des-palestiniens-en-exil_736722_3208.html,2006.0,oncle,Positive,0.741535484790802
Plus de 90 des enfants violés connaissent leurs agresseurs un père un beau père un oncle un voisin,https://www.lemonde.fr/a-la-une/article/2006/04/22/enfances-violees-en-afrique-du-sud_764334_3208.html,2006.0,oncle,Negative,0.9203781485557556
A l arrivée des troupes de Bonaparte en mai 1797 c est lui qui ôte du fronton l enseigne de La Venise triomphante pour la remplacer par le prénom de son oncle,https://www.lemonde.fr/a-la-une/article/2006/07/17/venise-le-florian_796101_3208.html,2006.0,oncle,Positive,0.8479177355766296
Le neveu de 17 ans et son oncle 56 ans gros gabarit grand érudit auteur de la première encyclopédie de l histoire,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006.0,oncle,Positive,0.9944915771484375
L oncle saisissant instantanément l importance de l événement avait fait armer un bateau pour aller observer le phénomène de plus près réflexe de vulcanologue le neveu était resté s absorbant dans la lecture de Tite Live,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006.0,oncle,Positive,0.938499391078949
Son oncle disparu l historien Tacite lui demandera de décrire ces jours funestes,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006.0,oncle,Negative,0.9935518503189087
Les deux lettres de l adolescent forment peut être le témoignage le plus précis jamais écrit sur une éruption volcanique majeure les principaux extraits de la première lettre relatant la mort de son oncle sont reproduits ci dessous,https://www.lemonde.fr/a-la-une/article/2006/08/05/le-monde-s-est-arrete-au-vesuve_801308_3208.html,2006.0,oncle,Negative,0.8250074982643127
Julienne Lavelloi a également perdu un oncle et un cousin dans l assaut,https://www.lemonde.fr/a-la-une/article/2006/08/14/nouvelle-caledonie-les-plaies-d-ouvea_803422_3208.html,2006.0,oncle,Negative,0.981992244720459
Hanté par la guerre Iran Irak 1980 1988 qui a emporté son oncle et un ami proche Majid Nowrouzi voit là un moyen de donner de la voix contre un nouveau conflit,https://www.lemonde.fr/a-la-une/article/2013/06/21/sur-facebook-israel-aime-l-iran_3434464_3208.html,2013.0,oncle,Negative,0.9559859037399292
Le lendemain Miso trône au café Ghanam au milieu de la rue Bab El Bahr qui appartient à son oncle,https://www.lemonde.fr/a-la-une/article/2013/08/26/au-caire-une-rue-dans-la-revolution_3466688_3208.html,2013.0,oncle,Positive,0.5758035778999329
C est Mohammed Salman l oncle de Jawdat qui aurait pris les choses en mains,https://www.lemonde.fr/a-la-une/article/2014/04/12/le-tres-convoite-apollon-de-gaza_4400184_3208.html,2014.0,oncle,Negative,0.6812921762466431
Aligné dos au mur avec son oncle la femme de celui ci et deux amis il a cru sa dernière heure arrivée,https://www.lemonde.fr/a-la-une/article/2014/07/17/au-soudan-du-sud-l-enfer-des-nuer_4458891_3208.html,2014.0,oncle,Negative,0.8748810291290283
Son oncle secrétaire exécutif du cabinet de Riek Machar est activement recherché par le SPLA C est trop dangereux,https://www.lemonde.fr/a-la-une/article/2014/07/17/au-soudan-du-sud-l-enfer-des-nuer_4458891_3208.html,2014.0,oncle,Negative,0.9772236347198486
L éditeur est condamné à verser des dommages et intérêts non seulement au jeune homme qui est en fait l oncle du petit garçon mais également au père et à la mère de l enfant sans oublier la fiancée du jeune homme,https://www.lemonde.fr/actualite-medias/article/2005/03/21/le-droit-a-l-image-confronte-aux-derives-marchandes_629679_3236.html,2005.0,oncle,Negative,0.8587102890014648
Une autre fillette et son oncle se trouvent toujours aujourd hui dans un état critique,https://www.lemonde.fr/actualite-medias/article/2006/06/17/une-plage-au-gout-de-cendres_784806_3236.html,2006.0,oncle,Negative,0.9856933355331421
Et d ajouter Ces types mettent une image de la Vierge sur leur fusil et ils partent tuer alors que mon oncle profondément croyant portait son crucifix discrètement sous sa chemise,https://www.lemonde.fr/actualite-medias/article/2008/01/28/regards-croises-de-deux-cineastes-sur-un-liban-eclectique_1004583_3236.html,2008.0,oncle,Positive,0.6753029823303223
Denis trouve refuge chez son oncle Claude Olievenstein le célèbre psychiatre spécialiste des drogues,https://www.lemonde.fr/actualite-medias/article/2008/04/01/denis-olivennes-a-bon-port_1029671_3236.html,2008.0,oncle,Positive,0.9700268507003784
Mon oncle avait lui un souci d intégration explique t il,https://www.lemonde.fr/actualite-medias/article/2008/04/01/denis-olivennes-a-bon-port_1029671_3236.html,2008.0,oncle,Negative,0.8281490206718445
C est le journaliste Bernard Maris alias oncle Bernard qui prend place aux côtés de Nicolas Demorand,https://www.lemonde.fr/actualite-medias/article/2011/11/02/heberge-par-liberation-l-equipe-de-charlie-hebdo-se-remet-au-travail_1597556_3236.html,2011.0,oncle,Neutral,0.8650272488594055
Le premier d entre eux n est autre que son oncle,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016.0,oncle,Positive,0.513949990272522
En digne héritier son oncle n a pas de fils il étudie à son tour au MIT puis intègre Accor,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016.0,oncle,Positive,0.766676127910614
L oncle Gérard Pélisson est vexé quand Gilles décide de quitter Accor pour rejoindre Disney se rappelle le neveu,https://www.lemonde.fr/actualite-medias/article/2016/02/15/gilles-pelisson-l-heritier-devenu-pdg-de-tf1_4865439_3236.html,2016.0,oncle,Negative,0.8571761846542358
Retrouvez les deux autres volets de la série Scènes de ménage à la table de l oncle Sam et La stratégie du cavalier seul,https://www.lemonde.fr/actualite-medias/article/2019/01/05/les-articles-preferes-des-abonnes-du-monde-en-2018_5405461_3236.html,2019.0,oncle,Positive,0.6805110573768616
Lui qui courbait l échine devant son oncle ou le big man tient maintenant la ville en respect et admire ses exploits sur CNN,https://www.lemonde.fr/afrique/article/2005/10/06/liberia-derriere-le-chaos-l-etat-impossible_696671_3212.html,2005.0,oncle,Neutral,0.5733076930046082
BATAILLE DE CLANS En effet Ismaël Omar Guelleh était l un des candidats au pouvoir pour succéder à son oncle le chef de l Etat Hassan Gouled Aptidon dont il était le chef de cabinet,https://www.lemonde.fr/afrique/article/2007/07/11/le-juge-borrel-aurait-ete-charge-d-enqueter-sur-le-president-de-djibouti-omar-guelleh_934486_3212.html,2007.0,oncle,Negative,0.7096497416496277
Il s agit de deux jeunes hommes les fils de la cinquième personne blessée leur oncle et un ami,https://www.lemonde.fr/afrique/article/2007/12/24/plusieurs-arrestations-en-mauritanie_993123_3212.html,2007.0,oncle,Neutral,0.6601001620292664
Contrairement à son oncle il a plutôt une bonne réputation,https://www.lemonde.fr/afrique/article/2009/03/17/a-madagascar-le-soulagement-le-dispute-a-l-incertitude_1168907_3212.html,2009.0,oncle,Negative,0.5667746067047119
Arrivé au pouvoir par un coup d Etat en 1979 à l issue duquel il a fait fusiller Francisco Macias Nguema son oncle et premier président de cette ancienne colonie espagnole M,https://www.lemonde.fr/afrique/article/2009/12/03/guinee-equatoriale-le-president-reelu-avec-95-37-des-voix_1275923_3212.html,2009.0,oncle,Positive,0.6386315226554871
Arrivé au pouvoir à la faveur d un coup d Etat contre son oncle Francisco Macias un sanguinaire satrape qui se faisait appeler le Miracle unique de la Guinée équatoriale Teodoro Obiang s est fait réélire en 2009 avec 95 des voix,https://www.lemonde.fr/afrique/article/2011/08/06/la-guinee-equatoriale-se-veut-le-koweit-africain_1556862_3212.html,2011.0,oncle,Negative,0.4744535982608795
Les nuits où il a plu son oncle l a emmené poser des bâches orange sur les abris par dizaines pour protéger ses compatriotes,https://www.lemonde.fr/afrique/article/2011/08/10/voyage-dans-le-temps-a-mogadiscio-au-coeur-des-zones-quittees-par-les-chabab_1558092_3212.html,2011.0,oncle,Positive,0.9305415749549866
Grâce à un oncle maternel membre de la direction il a pu s entretenir avec Mohammed Badie l actuel guide des Frères musulmans ainsi que Mehdi Akef son prédécesseur,https://www.lemonde.fr/afrique/article/2012/01/04/hani-ramadan-juge-les-freres-musulmans-prets-pour-la-democratie_1625485_3212.html,2012.0,oncle,Positive,0.9770323038101196
Les autorités égyptiennes s étaient employées à obtenir l appui des chefs de tribu de la région pour assurer la médiation avec le Bédouin qui avait enlevé un pasteur américain l épouse de celui ci et leur guide égyptien vendredi en signe de protestation contre l incarcération de son oncle pour des délits liés à la drogue,https://www.lemonde.fr/afrique/article/2012/07/16/egypte-liberation-de-deux-touristes-americains-enleves-dans-le-sinai_1734447_3212.html,2012.0,oncle,Negative,0.984473466873169
L image d un oncle maternel brigadier chef avant eux a dû compter,https://www.lemonde.fr/afrique/article/2012/11/27/qui-sont-les-militaires-accuses-du-meurtre-de-firmin-mahe-en-cote-d-ivoire_1796744_3212.html,2012.0,oncle,Positive,0.7486823201179504
Le grand père maternel fut capitaine dans un régiment du train l oncle était parti pour l Indo à 18 ans le père s était engagé en 1943,https://www.lemonde.fr/afrique/article/2012/11/27/qui-sont-les-militaires-accuses-du-meurtre-de-firmin-mahe-en-cote-d-ivoire_1796744_3212.html,2012.0,oncle,Positive,0.8964400291442871
Sa mère a témoigné au cours de l enquête qui a conduit à renvoyer son fils devant la justice pour complicité du meurtre de Firmin Mahé en Côte d Ivoire en 2005 Mon père mon oncle mon grand père mon arrière grand père tous ont été militaires les trois derniers étant généraux a t elle souligné,https://www.lemonde.fr/afrique/article/2012/11/27/qui-sont-les-militaires-accuses-du-meurtre-de-firmin-mahe-en-cote-d-ivoire_1796744_3212.html,2012.0,oncle,Positive,0.5470539331436157
Pistorius vit actuellement chez son oncle à Pretoria où son manager lui rend visite une fois par semaine,https://www.lemonde.fr/afrique/article/2013/06/03/selon-son-manager-pistorius-est-psychologiquement-epuise_3423347_3212.html,2013.0,oncle,Positive,0.9043042063713074
La troisième victime un Malgache prénommé Zaidou qui est l oncle de l enfant a été exécutée et brûlée jeudi soir,https://www.lemonde.fr/afrique/article/2013/10/05/madagascar-vague-d-arrestations-apres-le-lynchage-de-trois-hommes_3490629_3212.html,2013.0,oncle,Negative,0.8456371426582336
Il a été battu s est enfui à plusieurs reprises avant de pouvoir rejoindre la maison d un oncle qui m a alerté,https://www.lemonde.fr/afrique/article/2014/09/06/au-senegal-les-ecoliers-de-la-rue_4483179_3212.html,2014.0,oncle,Negative,0.9738151431083679
Les organisations de défense des droits de l homme fustigent le régime népotique et prédateur de cet homme de 72 ans réélu en 2009 avec 95 des voix et qui ne montre guère de volonté de partager un pouvoir conquis en 1979 à la force d un coup d Etat ourdi contre son propre oncle un dictateur encore plus sanguinaire tué lors de ce coup,https://www.lemonde.fr/afrique/article/2014/11/15/la-guinee-equatoriale-accueillera-la-can-2015_4524104_3212.html,2014.0,oncle,Negative,0.9945595860481262
Ses deux frères son père et son oncle n y survivront pas et le 2 décembre Aishatu Moses Ngoshe avec trois de ses six enfants traverse la frontière camerounaise pour trouver refuge à Minawao,https://www.lemonde.fr/afrique/article/2015/02/13/le-cauchemar-des-rescapes-de-boko-haram_4575862_3212.html,2015.0,oncle,Positive,0.5759515762329102
Depuis Paris Wigdan Mekki suit dans l angoisse les comptes rendus du procès en cours de son oncle Amin Mekki Madani jugé à Khartoum,https://www.lemonde.fr/afrique/article/2015/04/06/au-soudan-des-militants-de-la-democratie-juges-pour-terrorisme_4610416_3212.html,2015.0,oncle,Positive,0.6121585965156555
En début d après midi l oncle de Lansana Conté El Hadj Sekhouna Souma fait son entrée,https://www.lemonde.fr/afrique/article/2015/04/24/avec-les-gangs-de-l-axe-mercenaires-politiques-de-conakry_4622392_3212.html,2015.0,oncle,Positive,0.8685579895973206
Issu d une famille musulmane il a été converti au christianisme à l âge de 10 ans par l oncle qui l a élevé,https://www.lemonde.fr/afrique/article/2015/07/07/nouveaux-christianismes-3-5-etre-chef-d-etat-et-evangeliste_4673648_3212.html,2015.0,oncle,Positive,0.966045618057251
Mais les 3 000 habitants du patelin vivent tous de la fierté d être selon l âge un cousin un oncle ou un grand parent de Barack Obama,https://www.lemonde.fr/afrique/article/2015/07/24/kogelo-le-village-kenyan-ou-tout-le-monde-est-le-demi-frere-d-obama_4696887_3212.html,2015.0,oncle,Positive,0.9909322261810303
L oncle Saïd affirme qu il est en contact permanent et direct avec le président des Etats Unis qui tient à être informé de ce qui se passe à Kogelo,https://www.lemonde.fr/afrique/article/2015/07/24/kogelo-le-village-kenyan-ou-tout-le-monde-est-le-demi-frere-d-obama_4696887_3212.html,2015.0,oncle,Positive,0.9041053056716919
Son père est interrogé par la police son oncle assassiné pour avoir donné des armes et de l argent au SPLA,https://www.lemonde.fr/afrique/article/2015/11/13/l-epopee-des-grecs-du-soudan-du-sud_4809416_3212.html,2015.0,oncle,Negative,0.959465503692627
C est aussi comme cela que Luke malien a pris un bus à la frontière directement pour Alger où il a été accueilli par un oncle,https://www.lemonde.fr/afrique/article/2016/01/13/des-vies-de-migrants-en-algerie-1-7-arriver_4846595_3212.html,2016.0,oncle,Positive,0.9899554252624512
J ai été violé par trois soldats devant mon père mon oncle paternel ma mère et une de mes cousines,https://www.lemonde.fr/afrique/article/2016/04/08/en-france-les-femmes-de-djibouti-ont-faim-de-justice_4898665_3212.html,2016.0,oncle,Negative,0.9002271294593811
Presque tous les élèves de cette école ont un père ou un oncle braconnier remarque Lewyn Maefala,https://www.lemonde.fr/afrique/article/2016/07/08/en-afrique-du-sud-des-femmes-rangers-pour-lutter-contre-les-braconniers_4966178_3212.html,2016.0,oncle,Negative,0.9297102093696594
A chacun donc de choisir une personne référente un oncle une tante une personne de confiance et de faire savoir à son enfant que l on a validé cette personne,https://www.lemonde.fr/afrique/article/2016/07/20/l-afrique-intime-pour-une-education-a-la-sexualite-de-nos-enfants_4972417_3212.html,2016.0,oncle,Positive,0.9287018179893494
