Text,link,year,aspect,sentiment,prob
L un des documents les plus émouvants présentés au Musée d art et d histoire du judaïsme est sans doute ce journal rédigé illustré et ronéoté à Pontarlier par Eliane Stern 11 ans dont le père et les oncles sont sur le front,https://www.lemonde.fr/a-la-une/article/2005/03/09/en-1914-les-juifs-francais-derriere-le-drapeau_400973_3208.html,2005,oncles,Negative,0.8283004760742188
A Tzaneen tout le monde connaît le kibboutz familial la grand mère les enfants les oncles et les tantes tous cohabitent,https://www.lemonde.fr/a-la-une/article/2006/02/17/le-combat-des-fermiers-blancs-du-limpopo_742458_3208.html,2006,oncles,Positive,0.9706341028213501
Il lui faut Pila Canale jadis un fief familial un de ses oncles avait déjà tenu la mairie dont il avait été chassé par la famille Colonna,https://www.lemonde.fr/a-la-une/article/2006/03/15/le-dernier-nabab-corse_750930_3208.html,2006,oncles,Positive,0.7495973706245422
De son premier mariage Jakob avait eu deux fils Emmanuel et Philipp que le jeune Freud considérait comme des oncles au même titre que les cinq frères de son père,https://www.lemonde.fr/a-la-une/article/2006/05/03/freud-le-penseur-des-lumieres-sombres_767763_3208.html,2006,oncles,Positive,0.700791597366333
En dépit de la promiscuité sexuelle dans laquelle vit leur colonie ils savent précisément qui sont les frères les oncles les cousins,https://www.lemonde.fr/a-la-une/article/2006/08/09/portrait-de-groupe-avec-petits-singes_802339_3208.html,2006,oncles,Positive,0.9475529789924622
Nous savons qu un de ses oncles a survécu aux événements et est décédé en France avant 1929,https://www.lemonde.fr/a-la-une/article/2007/02/26/comment-retrouver-les-cousins-d-amerique-ou-d-alep-sur-internet_876354_3208.html,2007,oncles,Negative,0.7070184350013733
Erika fille du Nord dont les oncles exerçaient dans la boucherie chevaline à Calais a mangé du cheval avant de goûter au bœuf,https://www.lemonde.fr/a-la-une/article/2014/08/14/erika-lombard-de-la-selle-a-l-assiette_4471450_3208.html,2014,oncles,Positive,0.44432079792022705
Bolloré a convoqué le souvenir de ses deux oncles qui ont participé au Débarquement de 1944 Au delà des bons mots M,https://www.lemonde.fr/actualite-medias/article/2015/11/13/face-aux-inquietudes-le-one-man-show-de-bollore_4808687_3236.html,2015,oncles,Positive,0.9172719717025757
Bolloré a convoqué le souvenir de ses oncles Gwenn Aël Bolloré et Marc Thubé qui ont participé au Débarquement du 6 juin 1944 pour témoigner de son sens de la liberté,https://www.lemonde.fr/actualite-medias/article/2015/11/13/face-aux-inquietudes-le-one-man-show-de-bollore_4808687_3236.html,2015,oncles,Positive,0.9803569912910461
Elle n a pas de nouvelles de ses tantes et de ses oncles,https://www.lemonde.fr/afrique/article/2015/09/01/dans-le-nord-du-cameroun-le-calvaire-des-refugies-de-boko-haram_4742199_3212.html,2015,oncles,Positive,0.8764432072639465
Adolescent j ai tenu la caisse du studio photo Warya Photo qui appartenait à deux de mes multiples oncles maternels,https://www.lemonde.fr/afrique/article/2016/08/24/que-sont-les-photographes-de-quartier-devenus_4987411_3212.html,2016,oncles,Positive,0.9413172602653503
Dans le studio de mes oncles Il m expliquera plus tard qu il n avait pas hésité longtemps avant de choisir son camp,https://www.lemonde.fr/afrique/article/2016/08/24/que-sont-les-photographes-de-quartier-devenus_4987411_3212.html,2016,oncles,Positive,0.9695501327514648
Meetings politiques événements sportifs mariages anniversaires rien n échappait à l œil exercé de mes deux oncles Farhan et Ali,https://www.lemonde.fr/afrique/article/2016/08/24/que-sont-les-photographes-de-quartier-devenus_4987411_3212.html,2016,oncles,Positive,0.9932831525802612
Tous les cousins et les oncles d Aschalew sont ainsi partis en Israël,https://www.lemonde.fr/afrique/article/2016/09/21/la-difficile-alya-des-derniers-juifs-d-ethiopie_5001513_3212.html,2016,oncles,Positive,0.916371762752533
Comme nombre de ses clients le patron désespère de pouvoir enfin partir en Israël où habitent ses cousins ses oncles et toute sa belle famille,https://www.lemonde.fr/afrique/article/2016/09/21/la-difficile-alya-des-derniers-juifs-d-ethiopie_5001513_3212.html,2016,oncles,Positive,0.9921098351478577
Mohamed 37 ans a rejoint en Allemagne l un de ses oncles installé en Ruhr,https://www.lemonde.fr/afrique/article/2016/11/04/derriere-le-drame-du-poissonnier-mouhcine-fikri-une-region-marocaine-en-difficulte_5025704_3212.html,2016,oncles,Positive,0.7755962610244751
Une fois arrivés à destination des soi disant oncles ou tantes les font travailler comme domestiques ou vendeurs de rue explique l agent de l immigration,https://www.lemonde.fr/afrique/article/2017/05/31/au-port-de-calabar-avec-ces-migrants-africains-qui-ne-revent-pas-d-europe_5136786_3212.html,2017,oncles,Negative,0.9936692118644714
L un des oncles de la jeune femme dont la candidature à l élection présidentielle du 4 août n avait pas été validée affirmait même dans une vidéo publiée sur Internet que la mère de Diane Shima Rwigara ses deux frères et sa sœur avaient été emmenés dans un endroit qui n est pas connu,https://www.lemonde.fr/afrique/article/2017/09/05/rwanda-imbroglio-autour-de-l-opposante-diane-shima-rwigara_5181372_3212.html,2017,oncles,Negative,0.9912005066871643
